sku,combined_description
206-40129,"<ul><li>Moto-Inspired grip system specifically designed for your performance V-Twin</li><li>Full-Waffle Moto-Pattern reduces vibration transfer to your hands and provides improved grip in all conditions</li><li>Heavily knurled base-pattern delivers solid traction and control</li><li>Proprietary Medium-Compound Materials which provides excellent durability and comfort</li><li>Billet-aluminum clutch-side clamp eliminates the need for set-screws or grip-glue while ensuring 100% slip-free performance.</li><li>T15 Torx bolts included, enabling higher torque levels for solid, twist-free mounting</li><li>Proudly made in the USA</li></ul>"
206-40130,"<ul><li>Moto-Inspired grip system specifically designed for your performance V-Twin</li><li>Full-Waffle Moto-Pattern reduces vibration transfer to your hands and provides improved grip in all conditions</li><li>Heavily knurled base-pattern delivers solid traction and control</li><li>Proprietary Medium-Compound Materials which provides excellent durability and comfort</li><li>Billet-aluminum clutch-side clamp eliminates the need for set-screws or grip-glue while ensuring 100% slip-free performance.</li><li>T15 Torx bolts included, enabling higher torque levels for solid, twist-free mounting</li><li>Proudly made in the USA</li></ul>"
206-40131,"<ul><li>Moto-Inspired grip system specifically designed for your performance V-Twin</li><li>Full-Waffle Moto-Pattern reduces vibration transfer to your hands and provides improved grip in all conditions</li><li>Heavily knurled base-pattern delivers solid traction and control</li><li>Proprietary Medium-Compound Materials which provides excellent durability and comfort</li><li>Billet-aluminum clutch-side clamp eliminates the need for set-screws or grip-glue while ensuring 100% slip-free performance.</li><li>T15 Torx bolts included, enabling higher torque levels for solid, twist-free mounting</li><li>Proudly made in the USA</li></ul>"
206-40132,"<ul><li>Moto-Inspired grip system specifically designed for your performance V-Twin</li><li>Full-Waffle Moto-Pattern reduces vibration transfer to your hands and provides improved grip in all conditions</li><li>Heavily knurled base-pattern delivers solid traction and control</li><li>Proprietary Medium-Compound Materials which provides excellent durability and comfort</li><li>Billet-aluminum clutch-side clamp eliminates the need for set-screws or grip-glue while ensuring 100% slip-free performance.</li><li>T15 Torx bolts included, enabling higher torque levels for solid, twist-free mounting</li><li>Proudly made in the USA</li></ul>"
206-40133,"<ul><li>Moto-Inspired grip system specifically designed for your performance V-Twin</li><li>Full-Waffle Moto-Pattern reduces vibration transfer to your hands and provides improved grip in all conditions</li><li>Heavily knurled base-pattern delivers solid traction and control</li><li>Proprietary Medium-Compound Materials which provides excellent durability and comfort</li><li>Billet-aluminum clutch-side clamp eliminates the need for set-screws or grip-glue while ensuring 100% slip-free performance.</li><li>T15 Torx bolts included, enabling higher torque levels for solid, twist-free mounting</li><li>Proudly made in the USA</li></ul>"
563-03014,"Next Level will set your two-wheeled creations apart from the mundane. Concentrating on light weight design, quality materials and structural rigidity, Next Level will please the eye with the fusion of our top priority: function. Next Level grips are available with two distinct rubber inlay grip patterns, fine texture and course texture. Available in Throttle By Wire and Cable type throttles.

Features:
<ul><li>Next Level will set your two-wheeled creations apart from the mundane.</li><li>Concentrating on light weight design, quality materials and structural rigidity, Next Level will please the eye with the fusion of our top priority: function.</li><li>Next Level grips are available with two distinct rubber inlay grip patterns, fine texture and course texture.</li><li>Available in Throttle By Wire, Cable type throttles and the New Twist Grip throttle.</li></ul>"
563-03015,"Next Level will set your two-wheeled creations apart from the mundane. Concentrating on light weight design, quality materials and structural rigidity, Next Level will please the eye with the fusion of our top priority: function. Next Level grips are available with two distinct rubber inlay grip patterns, fine texture and course texture. Available in Throttle By Wire and Cable type throttles.

Features:
<ul><li>Next Level will set your two-wheeled creations apart from the mundane.</li><li>Concentrating on light weight design, quality materials and structural rigidity, Next Level will please the eye with the fusion of our top priority: function.</li><li>Next Level grips are available with two distinct rubber inlay grip patterns, fine texture and course texture.</li><li>Available in Throttle By Wire, Cable type throttles and the New Twist Grip throttle.</li></ul>"
57-038117,"<ul><li>Lock constructed form specially hardened steel</li><li>Z Key is user friendly and highly pick resistant</li><li>360 TRIGGER</li><li>Level 7 security, 10mm push to close bolt</li><li>355 TRIGGER</li><li>Level 6 security, 5mm push to close bolt</li></ul>"
57-041002,"<ul><li>Lock constructed form specially hardened steel</li><li>Z Key is user friendly and highly pick resistant</li><li>360 TRIGGER</li><li>Level 7 security, 10mm push to close bolt</li><li>355 TRIGGER</li><li>Level 6 security, 5mm push to close bolt</li></ul>"
57-041003,"<ul><li>Lock constructed form specially hardened steel</li><li>Z Key is user friendly and highly pick resistant</li><li>CR2 Battery</li><li>370A TRIGGER</li><li>Level 9 security, 10mm push to close bolt</li><li>365A TRIGGER</li><li>Level 8 security, 5mm push to close bolt</li></ul>"
57-094379,"<ul><li>Lock constructed form specially hardened steel</li><li>Z Key is user friendly and highly pick resistant</li><li>CR2 Battery</li><li>370A TRIGGER</li><li>Level 9 security, 10mm push to close bolt</li><li>365A TRIGGER</li><li>Level 8 security, 5mm push to close bolt</li></ul>"
873-2106,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2107,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2108,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2109,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2110,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2111,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2112,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2113,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2114,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2115,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2116,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2117,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2118,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2119,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2120,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2121,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2122,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2123,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
873-2124,<ul><li>Modern directional tread designed for excellent wet weather traction and increased mileage</li><li>Front tire has single radius profile for light steering and increased stability</li><li>Aramid belting provides high load stability</li><li>Available in BLACKWALL and WHITEWALL (W/W)</li><li>Tubeless design</li><li>Rear tire uses dual radius profile design for a larger foot print increasing traction and mileage</li></ul>
71-9158,"<ul><li>Made from CNC machined 6061 Aluminum</li><li>Adjustable to fit most any size grips for 7/8"" and larger bar sizes</li></ul>"
133-4023,"Take your motorcycle to a whole new level of performance with Dynojet’s line of Power Vision fuel tuners delivered by a wireless device. Utilize the power of Bluetooth with the PV4 and peruse Dynojet's wide variety of tunes to choose from and upgraded monitoring capabilities to keep you in sync, you’ll be in total control for any adventure. Tap into more horsepower to the ground than stock and optimized performance for the ultimate ride.

Features:
<ul><li>Flash tunes to your ECU- no set up required. Just create an account, select your tune, flash and enjoy the ultimate ride.</li><li>Access to vast database of pre-loaded tunes for different configurations</li><li>Bluetooth connectivity for Apple & Android</li><li>Easily download and manage pre-loaded and custom tunes.</li><li>Record real-time engine data and display in WinPEP8 Data Center.</li><li>Optimized for remote-tuning. Easily ride, record, and share data logs and tunes</li><li>Read, review, clear, and share Diagnostic Trouble Codes (DTC's) with built-in descriptions</li><li>Supports licensing additional vehicles</li><li>Return to stock at any time; your original, factory tune is safely backed up on the cloud and on your phone</li><li>Made in the USA</li></ul>"
133-4033,"If you live and work at full steam, the easy to install Power Vision EFI tuner was built for you. Tap into increased drivability than stock and optimized performance for the ultimate ride. Power Vision 3 eliminates the clutter and puts you in total control of your bike’s performance, allowing you to flash your ECU from the road. After you tune, Power Vision 3 can stay on to provide a vital full color instrument panel that’ll give you the advantage you deserve.

Features:
<ul><li>High contrast screen gives you full control over how you tune your ride</li><li>Ability to flash your motorcycle from the road, whenever you want</li><li>Quickly build you one custom tune or choose from a wide variety of trusted Dynojet-engineered tunes</li><li>One year warranty</li><li>Unlimited tech support</li><li>Made in the USA</li></ul>"
194-52742,<ul><li>Easy and secure mounting with 3M adhesive</li><li>Extension Arm for additional reach</li></ul>
750-03108,<ul><li>Clean up your back end with Santoro Fabworx Chonies Bag Deletes</li><li>ABS plastic</li><li>Available in Raw Black ABS plastic & Hydro-dipped Carbon Fiber</li><li>Comes with Black Chachos and all hardware for installation</li><li>Made in the USA</li></ul>
750-03109,<ul><li>Clean up your back end with Santoro Fabworx Chonies Bag Deletes</li><li>ABS plastic</li><li>Available in Raw Black ABS plastic & Hydro-dipped Carbon Fiber</li><li>Comes with Black Chachos and all hardware for installation</li><li>Made in the USA</li></ul>
51-9129,<ul><li>Attains practical use strength in seconds.</li><li>No evaporative elements and no shrinkage to weaken bonding.</li><li>Excellent for nonporous materials.</li></ul>
561-22533BK,<ul><li>Switch up your levers with Puig Heritage levers</li><li>Adapter available for Chiefs & Scouts</li></ul>
561-22534BK,<ul><li>Switch up your levers with Puig Heritage levers</li><li>Adapter available for Chiefs & Scouts</li></ul>
122-0820,<ul><li>Machined from Aircraft Grade 6061 T6 Highly Durable and Light Weight Alloy</li><li>Pegs Can be Rotated Full 360 Degrees to Any Angle and Then Locked Down with the Included Stainless-Steel Hardware</li><li>Wide Platform Measures 3.5'' Long x 2.3'' Wide</li></ul>
122-0821,<ul><li>Machined from Aircraft Grade 6061 T6 Highly Durable and Light Weight Alloy</li><li>Pegs Can be Rotated Full 360 Degrees to Any Angle and Then Locked Down with the Included Stainless-Steel Hardware</li><li>Wide Platform Measures 3.5'' Long x 2.3'' Wide</li></ul>
122-0822,<ul><li>Machined from Aircraft Grade 6061 T6 Highly Durable and Light Weight Alloy</li><li>Pegs Can be Rotated Full 360 Degrees to Any Angle and Then Locked Down with the Included Stainless-Steel Hardware</li><li>Wide Platform Measures 3.5'' Long x 2.3'' Wide</li></ul>
122-0823,<ul><li>Machined from Aircraft Grade 6061 T6 Highly Durable and Light Weight Alloy</li><li>Pegs Can be Rotated Full 360 Degrees to Any Angle and Then Locked Down with the Included Stainless-Steel Hardware</li><li>Wide Platform Measures 3.5'' Long x 2.3'' Wide</li></ul>
122-0826,<ul><li>Machined from Aircraft Grade 6061 T6 Highly Durable and Light Weight Alloy</li><li>Pegs Can be Rotated Full 360 Degrees to Any Angle and Then Locked Down with the Included Stainless-Steel Hardware</li><li>Wide Platform Measures 3.5'' Long x 2.3'' Wide</li></ul>
122-0831,<ul><li>Machined from Aircraft Grade 6061 T6 Highly Durable and Light Weight Alloy</li><li>Pegs Can be Rotated Full 360 Degrees to Any Angle and Then Locked Down with the Included Stainless-Steel Hardware</li><li>Wide Platform Measures 3.5'' Long x 2.3'' Wide</li></ul>
653-0192,"<ul><li>Flexible 10in and 16in Strips:  Low-profile design seamlessly fits long mounting surfaces on your motorcycle, ensuring sleek and secure installation</li><li>Compact Light Pod:  Integrated connectors make these pods ideal for tight, confined spaces, offering versatile mounting options</li><li>Chasing Light Functions:  Powered by addressable RGBW LEDs for dynamic chasing patterns and flowing dream color effects</li><li>Safer Rides with Smart Sensors:  Sync the underglow lights with brake and turn signals, enhancing night ride safety</li><li>Brightest RGB + Pure White LEDs:  16 million RGB color with a dedicated pure white LED, up to 60% brighter than previous generation</li><li>Key Fob & Bluetooth App Control:  Customize your motorcycle LED lights via phone app or program quick-access with the 4-button key fob</li><li>Custom Themes & DIY Builder:  28+ pre-built chasing light themes with customizable colors, patterns, speed, and brightness, plus a DIY builder</li><li>Easy Installation:  Hassle-free setup, IP67 waterproof, and backed by a 3-year warranty for reliable performance</li></ul>"
653-0193,"<ul><li>Flexible 10in and 16in Strips:  Low-profile design seamlessly fits long mounting surfaces on your motorcycle, ensuring sleek and secure installation</li><li>Compact Light Pod:  Integrated connectors make these pods ideal for tight, confined spaces, offering versatile mounting options</li><li>Chasing Light Functions:  Powered by addressable RGBW LEDs for dynamic chasing patterns and flowing dream color effects</li><li>Safer Rides with Smart Sensors:  Sync the underglow lights with brake and turn signals, enhancing night ride safety</li><li>Brightest RGB + Pure White LEDs:  16 million RGB color with a dedicated pure white LED, up to 60% brighter than previous generation</li><li>Key Fob & Bluetooth App Control:  Customize your motorcycle LED lights via phone app or program quick-access with the 4-button key fob</li><li>Custom Themes & DIY Builder:  28+ pre-built chasing light themes with customizable colors, patterns, speed, and brightness, plus a DIY builder</li><li>Easy Installation:  Hassle-free setup, IP67 waterproof, and backed by a 3-year warranty for reliable performance</li></ul>"
556-3126036,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3126037,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3126038,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3126039,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3126040,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3126041,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3126042,"The HiTop Moto Sneaker is designed for riders who want a seamless transition between on and off the bike. Combining classic sneaker styling with the protection of a boot, it features integrated ankle protection and a reinforced toe box. Available in both summer and winter versions, this boot offers multi-functionality without compromising on safety or style.

Features:
<ul><li>CE Certification Rating: 1222</li><li>Integrated ankle protection</li><li>Reinforced toe box</li><li>Classic sneaker-inspired styling</li><li>Hybrid lace and zip closure system</li><li>Available in summer and winter versions</li></ul>"
556-3183208,"Building on the success of the 2022 Hillberry glove, the Hillberry 2 offers an evolved design that perfectly complements both the Hillberry and Brandish jackets. Crafted from premium aniline waxed leather, it features a bio-elastane integrated soft knuckle protector and motion panels on all fingers for superior flexibility. The double-layer leather palm provides durable abrasion resistance, while perforated fingers enhance ventilation. With embossed logos and a secure hook and loop double wrist closure, this glove balances classic style with modern performance.

Features:
<ul><li>CE Certified to Level 1 KP</li><li>Bio-elastane integrated soft knuckle protector</li><li>Premium aniline waxed leather construction</li><li>Double-layer leather at palm for durability</li><li>Perforated leather on fingers for ventilation</li><li>Pre-curved fingers for ergonomic fit</li><li>Motion panels on all fingers for flexibility</li><li>Hook and loop double wrist closure for secure fit</li><li>Polyester lining with foam padding</li><li>Embossed logos for premium styling</li></ul>"
556-3183209,"Building on the success of the 2022 Hillberry glove, the Hillberry 2 offers an evolved design that perfectly complements both the Hillberry and Brandish jackets. Crafted from premium aniline waxed leather, it features a bio-elastane integrated soft knuckle protector and motion panels on all fingers for superior flexibility. The double-layer leather palm provides durable abrasion resistance, while perforated fingers enhance ventilation. With embossed logos and a secure hook and loop double wrist closure, this glove balances classic style with modern performance.

Features:
<ul><li>CE Certified to Level 1 KP</li><li>Bio-elastane integrated soft knuckle protector</li><li>Premium aniline waxed leather construction</li><li>Double-layer leather at palm for durability</li><li>Perforated leather on fingers for ventilation</li><li>Pre-curved fingers for ergonomic fit</li><li>Motion panels on all fingers for flexibility</li><li>Hook and loop double wrist closure for secure fit</li><li>Polyester lining with foam padding</li><li>Embossed logos for premium styling</li></ul>"
556-3183210,"Building on the success of the 2022 Hillberry glove, the Hillberry 2 offers an evolved design that perfectly complements both the Hillberry and Brandish jackets. Crafted from premium aniline waxed leather, it features a bio-elastane integrated soft knuckle protector and motion panels on all fingers for superior flexibility. The double-layer leather palm provides durable abrasion resistance, while perforated fingers enhance ventilation. With embossed logos and a secure hook and loop double wrist closure, this glove balances classic style with modern performance.

Features:
<ul><li>CE Certified to Level 1 KP</li><li>Bio-elastane integrated soft knuckle protector</li><li>Premium aniline waxed leather construction</li><li>Double-layer leather at palm for durability</li><li>Perforated leather on fingers for ventilation</li><li>Pre-curved fingers for ergonomic fit</li><li>Motion panels on all fingers for flexibility</li><li>Hook and loop double wrist closure for secure fit</li><li>Polyester lining with foam padding</li><li>Embossed logos for premium styling</li></ul>"
556-3183211,"Building on the success of the 2022 Hillberry glove, the Hillberry 2 offers an evolved design that perfectly complements both the Hillberry and Brandish jackets. Crafted from premium aniline waxed leather, it features a bio-elastane integrated soft knuckle protector and motion panels on all fingers for superior flexibility. The double-layer leather palm provides durable abrasion resistance, while perforated fingers enhance ventilation. With embossed logos and a secure hook and loop double wrist closure, this glove balances classic style with modern performance.

Features:
<ul><li>CE Certified to Level 1 KP</li><li>Bio-elastane integrated soft knuckle protector</li><li>Premium aniline waxed leather construction</li><li>Double-layer leather at palm for durability</li><li>Perforated leather on fingers for ventilation</li><li>Pre-curved fingers for ergonomic fit</li><li>Motion panels on all fingers for flexibility</li><li>Hook and loop double wrist closure for secure fit</li><li>Polyester lining with foam padding</li><li>Embossed logos for premium styling</li></ul>"
556-3183212,"Building on the success of the 2022 Hillberry glove, the Hillberry 2 offers an evolved design that perfectly complements both the Hillberry and Brandish jackets. Crafted from premium aniline waxed leather, it features a bio-elastane integrated soft knuckle protector and motion panels on all fingers for superior flexibility. The double-layer leather palm provides durable abrasion resistance, while perforated fingers enhance ventilation. With embossed logos and a secure hook and loop double wrist closure, this glove balances classic style with modern performance.

Features:
<ul><li>CE Certified to Level 1 KP</li><li>Bio-elastane integrated soft knuckle protector</li><li>Premium aniline waxed leather construction</li><li>Double-layer leather at palm for durability</li><li>Perforated leather on fingers for ventilation</li><li>Pre-curved fingers for ergonomic fit</li><li>Motion panels on all fingers for flexibility</li><li>Hook and loop double wrist closure for secure fit</li><li>Polyester lining with foam padding</li><li>Embossed logos for premium styling</li></ul>"
71-7079,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7080,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7081,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7082,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7083,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7084,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7085,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7086,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
71-7087,"<ul><li>The next evolution of the RAM® Quick-Grip™ series</li><li>Re-designed with a new, sleek look and integrated rubber side arms to provide a secure, no-slip hold on your phone</li><li>Made of high-strength composite for durability and reliability in the most demanding environments</li><li>Center cavity compatible with Apple MagSafe puck; non-slip cover and puck adhesive included</li><li>Comes with optional device tether for open cockpit environments</li><li>Backed by a lifetime warranty</li></ul>"
85-0WA0001,"<ul><li>Nozzle</li><li>Tire plugging device</li><li>Probe tool</li><li>Reamer/rasp tool</li><li>Hex wrench</li><li>(15) Mushroom plugs (5/16"" diameter shaft x 3/4"" length stem)</li><li>Retractable razor knife</li><li>Extra zip lock bag</li><li>Laminated instructions</li><li>Vinyl zippered pouch (7.5"" x 3.5"" x 1"")</li><li>Weight: 12 oz.</li></ul>"
